Flow_Station,Subbasin_ID,Model,Dataset,RMSE,MAE,Correlation,BIAS,Nash_Sutcliffe
58030000,24,Linear_Regression,Training,4.328201258742098,3.201012309650657,0.7690240579007773,-6.579099405186112e-16,0.5913980016301779
58030000,24,Linear_Regression,Test,5.266871810731702,4.365044638396172,0.7158281586466927,2.8957731501613884,0.2922501097517868
58030000,24,Ridge,Training,4.334495301709232,3.2042106943318083,0.7682617863098954,8.552829226741946e-16,0.5902087646710521
58030000,24,Ridge,Test,5.175851790579432,4.2763006403981265,0.7209078714907309,2.781419241674419,0.31650085138411677
58030000,24,Random_Forest,Training,1.847220030356639,1.329679848899897,0.9675948437755374,0.01789067217957537,0.9255743132428721
58030000,24,Random_Forest,Test,5.061151650396254,4.079146420538964,0.7417420569307717,2.7328799504554833,0.3464587338155489
58030000,24,Gradient_Boosting,Training,1.6074153089058356,1.3101902818758244,0.9746518380195243,-3.700743415417188e-17,0.943643788188436
58030000,24,Gradient_Boosting,Test,5.32517847650413,4.425404945622592,0.7249284172195812,3.023370499449606,0.276493145294469
58030000,24,SVR,Training,4.61254005014438,3.1659786969129415,0.7648592870901291,-0.6961226972346473,0.5359488080230945
58030000,24,SVR,Test,5.350504226656603,4.503661214922099,0.6719507887056054,2.611420315928183,0.2695950007615687
58060000,36,Linear_Regression,Training,3.0020434738314496,1.8039437221353343,0.7305678299059978,3.4951465590051227e-16,0.5337293540935587
58060000,36,Linear_Regression,Test,2.188779341475903,1.7295641009316411,0.7086171989192181,0.2542528091472746,0.42627549455038705
58060000,36,Ridge,Training,3.003548611370489,1.81064908535626,0.7302533033779008,-2.796117247204098e-16,0.5332616877255845
58060000,36,Ridge,Test,2.179597932418735,1.721342786022903,0.7122077630658529,0.3117375907433914,0.4310786751245359
58060000,36,Random_Forest,Training,1.3926208886865847,0.8028333734721682,0.9561120307463059,0.06311622427676171,0.8996609623959331
58060000,36,Random_Forest,Test,2.904068113915507,2.160363189626706,0.652652627489093,0.9201448968988358,-0.009980607341156134
58060000,36,Gradient_Boosting,Training,0.93775850895692,0.7169377923440629,0.979086664074536,3.618504672852362e-16,0.9545026451654167
58060000,36,Gradient_Boosting,Test,3.27590139139056,2.3505217123089697,0.6588582358208493,1.0260510470566995,-0.28517147971222356
58060000,36,SVR,Training,3.175584674149054,1.6376372068552878,0.7233831868651841,-0.5947827931973949,0.4782631454375088
58060000,36,SVR,Test,2.1452080760535286,1.627152452895263,0.6849765662691477,-0.13027964752917623,0.4488900084767552
